source_system,source_issue_id,canonical_security_id,hk_stock_codes,security_name,valid_from,valid_to,mapping_status,mapping_evidence,mapping_row_count
webb_ccass,26970,webb:issue:26970,08042,KOS INTL,2018-10-12,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26971,webb:issue:26971,02682,YUN LEE MARINE,2019-03-18,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26976,webb:issue:26976,08611,MINDTELL TECH,2018-10-22,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27099,webb:issue:27099,01861,PRECIOUS DRAGON,2019-06-21,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27129,webb:issue:27129,01034,FULLWEALTH,2018-10-30,2025-10-15,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27208,webb:issue:27208,02925;09688,ZAI LAB,2020-09-28,2022-11-11,AMBIGUOUS,webbsite_full.sqlite/shortnames,7
webb_ccass,27209,webb:issue:27209,01801,INNOVENT BIO,2018-10-31,2020-06-29,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,27215,webb:issue:27215,01712,DRAGON MINING,2018-11-05,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27216,webb:issue:27216,08259,HON CORP,2018-11-07,2022-06-22,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27220,webb:issue:27220,01755,S-ENJOY SERVICE,2018-11-06,2019-07-04,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,27224,webb:issue:27224,03616,EVER REACH GP,2018-11-12,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27228,webb:issue:27228,02258,WATTS INT'L,2018-11-19,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27230,webb:issue:27230,06890,KANGLI INT HLDG,2018-11-19,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27234,webb:issue:27234,01790,TIL ENVIRO,2018-11-29,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27236,webb:issue:27236,01179;02943,HWORLD-S,2020-09-22,2022-08-05,AMBIGUOUS,webbsite_full.sqlite/shortnames,6
webb_ccass,27237,webb:issue:27237,01835,REALWAY CAPITAL,2018-11-13,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27282,webb:issue:27282,00780,TONGCHENGTRAVEL,2018-11-26,2021-12-22,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,27289,webb:issue:27289,01761,BABYTREE GROUP,2018-11-27,2024-12-09,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27308,webb:issue:27308,03166,PA QLTY FACTOR,2018-11-30,2023-12-01,EXACT,webbsite_full.sqlite/shortnames,1
