source_system,source_participant_id,source_ccass_id,canonical_participant_id,participant_name,valid_from,valid_to,identity_status,mapping_evidence
webb_ccass,147,B01433,ccass:B01433,HING WAI ALLIED SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,148,B01434,ccass:B01434,BEEVEST SECURITIES LTD,2017-04-03,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,149,B01437,ccass:B01437,SINO CAPITAL SECURITIES LTD,2018-03-15,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,150,B01438,ccass:B01438,KINGSTON SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,151,B01439,ccass:B01439,TAI TAK SECURITIES (ASIA) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,152,B01440,ccass:B01440,HOU TAK SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,153,B01443,ccass:B01443,YING WAH SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,154,B01444,ccass:B01444,YUEXING SECURITIES COMPANY LTD,2022-12-15,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,155,B01445,ccass:B01445,VICTORY SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,156,B01447,ccass:B01447,BETA INTERNATIONAL SECURITIES LIMITED,2024-03-13,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,157,B01450,ccass:B01450,DL BROKERAGE LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,158,B01451,ccass:B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,2009-04-20,2007-07-04,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,159,B01454,ccass:B01454,HAO TIAN INTERNATIONAL SECURITIES LTD,2017-03-24,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,160,B01455,ccass:B01455,NATIONAL RESOURCES SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,161,B01457,ccass:B01457,MARS SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,162,B01458,ccass:B01458,YICKO SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,163,B01459,ccass:B01459,IFAST SECURITIES (HK) LTD,2016-03-10,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,164,B01460,ccass:B01460,BERICH BROKERAGE LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,165,B01462,ccass:B01462,MANGO FINANCIAL LTD,2023-01-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,166,B01463,ccass:B01463,KGI WEALTH MANAGEMENT LTD,2010-01-04,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,167,B01464,ccass:B01464,PIPER JAFFRAY ASIA SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
